wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, primary_class 
AR1I60236014, L del Desierto 2, -49.0170, -72.9000, 0.5000, , 3
CL1L00100011, GCN48, -52.8800, -73.2980, 0.8800, , 6
AR1L44211040, San Lorenzo III, -47.6830, -72.2500, 0.1000, , 6
CL1L00201005, , -47.2300, -73.0200, 0.9000, , 6
CL1L34100001, Bernardo, -48.6900, -73.6500, 536.0000, , 4
AR1I60110016, 16, -50.5580, -73.0830, 0.3000, , 0
CL1L03135005, Torres, -53.2670, -72.7830, 0.8000, , 2
CL1L00202041, , -47.1200, -73.3300, 0.8000, , 5
CL1L11120001, Los Perros, -50.9330, -73.1170, 9.2000, , 5
CL1L31100002, Penguin, -50.1300, -73.7400, 527.0000, , 4
CL1L00204017, , -47.7700, -73.5000, 0.6000, , 6
AR1I60100004, Nevero 27 NW, -50.3750, -73.0000, 0.3000, , 6
AR1I60110018, Perdido 15, -50.5420, -73.1000, 2.0000, , 0
CL1L00201019, , -47.1000, -73.0800, 0.3000, , 7
AR1L44212002, R Capon, -48.5330, -72.3670, 6.0000, , 5
CL1L00201035, , -47.0400, -72.8600, 0.4000, , 6
CL1L00203069, , -47.5100, -73.1100, 0.4000, , 7
CL1L00203038, , -47.5500, -73.3500, 4.0000, , 5
AR1I60112018, Cerro Mayo SW, -50.3500, -73.3330, 1.0000, , 6
CL1L23200001, HPS31, -50.6100, -73.4400, 161.0000, , 4
CL1L00000015, GCN25, -52.8340, -73.0590, 1.1900, , 6
CL1L03021001, , -53.3000, -72.8670, 2.6000, , 5
AR1I60210009, Cabecera 1, -49.9060, -72.9670, 2.0000, , 6
AR1I60111012, S Ameghino 1, -50.4420, -73.2000, 1.0000, , 6
CL1L00000026, GCN52, -52.9580, -73.1720, 0.3200, , 7
CL1L00202007, , -47.4200, -73.0300, 0.9000, , 6
CL1L00204051, , -47.5500, -73.8300, 0.3000, , 4
AR1I60110013, 19, -50.5460, -73.0170, 0.5000, , 0
CL1L03135002, , -53.2830, -72.8500, 3.2000, , 2
CL1L00000013, GCN23, -52.8420, -73.0220, 0.4300, , 6
CL1L00202034, , -47.3000, -73.2000, 0.6000, , 6
AR1I60100006, Nevero 25 NE, -50.3500, -72.8170, 0.1000, , 6
CL1L03131001, , -53.2170, -73.0170, 1.3000, , 6
CL1L00202027, , -47.4800, -73.1700, 1.9000, , 4
AR1L44211043, San Lorenzo I, -47.6330, -72.2330, 0.4000, , 6
CL1L32100004, HPS15, -49.8700, -73.6600, 174.0000, , 4
AR1I60112013, de la Laguna Escondida, -50.3720, -73.4000, 12.5000, , 5
CL1L03011003, , -53.2500, -72.9830, 1.4000, , 5
AR1I60114016, C Phister, -49.8000, -73.1830, 5.0000, , 5
CL1L00000002, GCN03, -52.6450, -73.0300, 0.1000, , 3
CL1L03011004, , -53.2670, -72.9330, 1.6000, , 6
CL1L00204053, , -47.5200, -73.7700, 0.2000, , 7
AR1I60233006, Cagliero, -49.1670, -73.0670, 4.0000, , 6
CL1L00204042, , -47.6300, -73.7400, 0.3000, , 7
CL1L00203051, , -47.4500, -73.3200, 1.1000, , 4
CL1L00203018, , -47.7000, -73.2800, 0.2000, , 6
CL1L42100002, Pared Sur, -47.4070, -73.4190, 29.3000, , 4
AR1I60232005, R Blanco N, -49.2500, -73.0220, 2.0000, , 6
CL1L00203030, , -47.6500, -73.4000, 6.6000, , 5
AR1I60110004, Adriana, -50.6000, -73.0000, 3.0000, , 5
AR1L44211032, Cerro Peinado III, -47.7330, -72.2330, 0.0500, , 6
CL1L00202059, , -47.2500, -73.0300, 1.4000, , 6
AR1L44212005, Cerro Mayer, -48.3670, -72.3330, 1.8000, , 6
AR1I60110009, Dora 11-12, -50.6040, -73.0670, 8.0000, , 5
CL1L00201017, , -47.1000, -73.0800, 1.0000, , 6
AR1I60113006, al norte del Seco, -50.1720, -73.3210, 1.5000, , 6
CL1L00204072, , -47.5200, -73.5000, 1.0000, , 7
AR1L44211020, Valle San Lorenzo 4, -47.7500, -72.3830, 0.5000, , 6
AR1I60210006, de la Laguna, -49.9500, -73.0080, 2.5000, , 5
CL1L00202017, , -47.4500, -73.0600, 9.6000, , 5
AR1L44211014, Tres Hermanos 3, -47.8330, -72.5000, 0.7000, , 6
AR1I60112014, de la Laguna Escondida W, -50.3670, -73.4630, 1.0000, , 6
CL1L00000003, GCN05, -52.6630, -72.9530, 0.4900, , 6
AR1I60232002, de los Tres, -49.2720, -73.0170, 1.8000, , 6
CL1L00202006, , -47.4000, -73.0200, 1.2000, , 5
CL1L00100015, GCN42, -52.8140, -73.1400, 30.9100, , 4
CL1L00000032, GCN69, -52.9960, -73.0130, 0.4900, , 5
AR1I60114023, Codo 1, -49.7790, -73.0330, 1.0000, , 6
CL1L23200002, Calvo, -50.7100, -73.2600, 117.0000, , 4
AR1I60220016, Cerro Huemul, -49.4170, -73.0670, 1.5000, , 5
CL1L23300001, Asia, -50.8500, -73.5600, 133.0000, , 4
CL1L00202003, , -47.3900, -73.0400, 0.5000, , 7
CL1L00000052, GCN78, -53.0480, -73.2870, 0.3900, , 6
AR1I60238004, Cerro del Bosque S, -49.1170, -72.9120, 0.8000, , 6
CL1L00204019, , -47.7500, -73.6000, 0.6000, , 
AR1I60220009, de la Luna, -49.6670, -73.1000, 1.5000, , 5
AR1I60220010, Mascarello S, -49.6330, -73.1040, 3.0000, , 5
CL1L00203036, , -47.5200, -73.3700, 2.7000, , 5
CL1L11100003, Zapata, -51.0500, -73.3670, 11.6000, , 5
AR1I60234001, Mylodon S, -49.1000, -73.0500, 3.0000, , 5
AR1I60232014, R Electrico W, -49.2140, -73.1000, 0.5000, , 6
CL1L00204030, , -47.7500, -73.7800, 0.4000, , 5
AR1I60212001, R Condor 5, -49.8170, -72.9830, 0.8000, , 6
CL1L00100004, GCN67, -52.9510, -73.1880, 0.3800, , 6
CL1L00201026, , -47.0600, -73.0100, 11.2000, , 5
AR1I60232006, Cerro Electrico, -49.2460, -73.0170, 2.0000, , 6
CL1L00000023, GCN49, -52.9350, -73.0030, 3.6200, , 6
AR1L44212003, Narvaez, -48.4830, -72.3330, 10.0000, , 5
CL1L11100005, Grey, -50.8400, -73.3500, 269.0000, , 4
CL1L00201018, , -47.0700, -73.0500, 1.3000, , 4
AR1I60110003, Canal Sur 5, -50.6380, -73.0250, 0.8000, , 0
CL1L51000001, HPN 3, -47.3130, -73.8170, 70.2000, , 4
CL1L00100020, GCN04, -52.6540, -73.0470, 0.5700, , 6
CL1L00204056, , -47.4700, -73.8500, 2.3000, , 6
CL1L00204079, , -47.5900, -73.6100, 0.4000, , 4
AR1L44211026, Cerro Cono 8, -47.7500, -72.3000, 1.7000, , 5
CL1L00202004, , -47.3800, -73.0300, 1.4000, , 6
AR1L44211039, San Lorenzo IV, -47.6830, -72.2500, 0.1000, , 6
CL1L00201022, , -47.1000, -73.0300, 0.3000, , 7
AR1L44211042, Lacteo, -47.6500, -72.2500, 11.0000, , 5
CL1L00000005, GCN10, -52.7610, -73.0460, 5.8000, , 5
AR1I60232015, R Electrico C, -49.2170, -73.0670, 0.6000, , 6
CL1L44400003, Bravo, -48.5900, -73.3500, 129.0000, , 4
AR1I60114029, Rio Norte, -49.8420, -73.0250, 9.5000, , 6
CL1L00202040, , -47.1800, -73.3600, 351.3000, , 2
CL1L52000001, San Quintin, -46.8490, -73.6730, 765.0000, , 4
AR1L44220002, Sangra N, -48.4500, -72.4830, 4.0000, , 5
AR1I60236017, R Diablo E, -49.0420, -72.9750, 1.0000, , 6
CL1L00201028, , -47.0700, -72.9700, 0.5000, , 6
CL1L00204052, , -47.5300, -73.7800, 0.4000, , 7
CL1L00204063, , -47.3600, -73.5000, 324.2000, , 2
AR1I60113003, Spegazzini, -50.2800, -73.4500, 137.0000, , 4
CL1L00000010, Lengua, -52.8130, -72.9990, 5.3200, , 5
AR1I60236021, Cerro Sin Nombre Superior, -48.9830, -72.9000, 3.0000, , 5
AR1I60236008, L del Desierto 8, -49.0500, -72.9390, 0.8000, , 6
AR1I60113005, Seco (del totalizador), -50.1790, -73.3000, 4.0000, , 5
CL1L00201002, , -47.1700, -72.9400, 0.7000, , 6
AR1I60114031, Meseta E, -49.8960, -73.0500, 6.0000, , 6
CL1L44500002, Pascua, -48.4600, -73.2600, 88.0000, , 4
CL1L00202008, , -47.4200, -73.0300, 0.4000, , 6
CL1L00203057, , -47.3500, -73.2200, 0.5000, , 4
AR1L42720001, Agudo S, -47.5830, -72.2170, 0.1000, , 6
AR1L44211015, Cerro Q.1, -47.8000, -72.4170, 6.0000, , 5
CL1L00204040, , -47.6400, -73.7600, 0.7000, , 6
AR1I60112001, Peninsula Mayo-Ameghino 3, -50.3500, -73.1500, 2.5000, , 5
AR1I60112024, Bahia del Toro, -50.3000, -73.3050, 1.5000, , 5
CL1L03012003, , -53.3000, -72.8830, 2.3000, , 5
CL1L22100003, Snowy, -51.3900, -73.4700, 23.0000, , 4
AR1I60114009, Upsala, -49.7200, -73.3700, 902.0000, , 4
CL1L00000027, GCN53, -52.9650, -72.9880, 0.3400, , 6
AR1L44211036, Escondido, -47.7170, -72.2500, 5.2000, , 5
CL1L11120003, , -50.9000, -73.1330, 4.1000, , 6
AR1I60111010, de la Curva, -50.4500, -73.2860, 1.5000, , 6
CL1L00204080, , -47.6000, -73.6200, 0.9000, , 5
CL1L11120002, Ohnet, -50.8500, -73.1670, 4.6000, , 5
CL1L00000016, GCN26, -52.8390, -73.0820, 17.2500, , 4
AR1L44211027, Cerro Cono 7, -47.7670, -72.3170, 0.2000, , 6
CL1L00100014, GCN41, -52.8210, -73.1830, 3.1000, , 6
CL1L00202044, , -47.2200, -73.1300, 0.4000, , 7
AR1L44211053, Yole 3, -47.9000, -72.1670, 0.1000, , 6
CL1L00000007, GCN16, -52.7920, -72.9860, 0.2000, , 6
AR1I60110011, 21, -50.5420, -73.0000, 0.5000, , 0
AR1I60233004, Laguna Condor, -49.1830, -73.0550, 7.0000, , 5
AR1I60100005, Nevero 26 SE, -50.3670, -72.8330, 0.1000, , 6
AR1L44211038, Penitentes Exterior, -47.6670, -72.2000, 0.5000, , 6
AR1L44211051, del Viento, -47.6000, -72.1500, 0.1000, , 6
AR1I60231003, Pier Giorgio S, -49.2790, -73.1080, 1.5000, , 6
AR1I60112005, Fondo Canal Mayo 5, -50.3620, -73.2830, 1.0000, , 5
CL1L41100002, HPN 4, -47.4090, -73.6010, 53.0000, , 4
AR1L44211025, Cerro Cono 1, -47.7330, -72.2670, 2.1000, , 6
CL1L54300003, U1, -46.4890, -73.4230, 8.5000, , 4
CL1L44400002, O'Higgins, -48.9100, -73.4000, 820.0000, , 4
CL1L00201033, , -47.0400, -72.8800, 0.4000, , 7
CL1L54300002, Grosse, -46.4920, -73.3490, 65.9000, , 4
AR1I60114026, Portezuelo Cerro Torre, -49.7750, -72.9830, 1.0000, , 5
AR1I60111004, W bifurcado, -50.5210, -73.0670, 2.5000, , 5
AR1I60112023, de la Cascada, -50.3060, -73.3170, 2.0000, , 5
AR1I60114033, Tannhauser, -49.9250, -73.0000, 4.0000, , 6
CL1L00203005, , -47.6000, -73.1500, 1.2000, , 6
CL1L00202042, , -47.1500, -73.2800, 0.9000, , 4
AR1I60112006, Fondo Canal Mayo 4, -50.3670, -73.2960, 0.8000, , 5
CL1L00203014, , -47.6700, -73.2500, 1.2000, , 6
CL1L00204073, , -47.5300, -73.5500, 2.3000, , 4
CL1L00000011, GCN21, -52.8310, -73.0280, 1.9400, , 6
CL1L00202011, , -47.4500, -73.0200, 1.4000, , 5
AR1I60113007, de la Silla, -50.1670, -73.3000, 0.8000, , 6
CL1L00000041, GCN61, -52.9410, -73.0370, 0.2600, , 6
CL1L00201015, , -47.0700, -73.1500, 1.2000, , 6
CL1L00201013, , -47.1100, -73.2500, 0.5000, , 6
AR1L44211007, Aspero V, -47.8750, -72.3670, 1.1000, , 6
CL1L00204011, , -47.7000, -73.4900, 1.1000, , 6
AR1I60114025, Cerro Torre, -49.7670, -73.0000, 0.8000, , 6
CL1L00204035, , -47.6800, -73.7800, 0.2000, , 7
CL1L00000040, GCN60, -52.9360, -73.0630, 2.9000, , 3
CL1L00203068, , -47.5100, -73.1300, 0.8000, , 6
CL1L00100003, GCN80, -53.0550, -73.2880, 0.4400, , 6
CL1L42420003, U6, -46.6490, -73.2200, 11.0000, , 4
CL1L00204006, , -47.6700, -73.5200, 0.9000, , 6
CL1L00202012, , -47.4800, -73.0300, 3.0000, , 5
AR1I60110001, Frias, -50.6900, -73.0800, 48.0000, , 4
CL1L03135004, , -53.2670, -72.8000, 0.3000, , 6
CL1L03010002, , -53.2330, -73.0000, 2.2000, , 3
